Filing Quarter,Felony,Misdemeanor,Petty Offense/Infraction
2018 Q1,266,1745,124
2018 Q2,213,971,70
2018 Q3,178,1135,75
2018 Q4,201,970,108
2019 Q1,213,1030,74
2019 Q2,216,905,75
2019 Q3,252,1099,79
2019 Q4,205,1119,92
2020 Q1,198,986,50
2020 Q2,164,662,61
2020 Q3,171,888,71
2020 Q4,160,760,62
2021 Q1,196,839,32
2021 Q2,180,830,35
2021 Q3,130,1084,61
2021 Q4,128,844,60
2022 Q1,103,711,30
2022 Q2,117,697,65
2022 Q3,113,663,64
2022 Q4,131,680,70
2023 Q1,126,624,73
2023 Q2,131,744,81
2023 Q3,137,703,94
2023 Q4,102,647,59
2024 Q1,126,752,49
2024 Q2,142,704,84
2024 Q3,125,906,131
2024 Q4,134,756,87
2025 Q1,111,755,88
2025 Q2,119,733,72
2025 Q3,115,832,118
2025 Q4,122,800,80
